lastname,firstname,age,tall,position,highschool_id,teams_id
Tanaka,Jun,17,199,PF,Nagane Industry High,Nagane Industry High
Yamada,Noah,17,181,PG,Nagane Industry High,Nagane Industry High
Suzuki,Hayato,16,182,C,Nagane Industry High,Nagane Industry High
Mori,Hayato,16,197,SG,Nagane Industry High,Nagane Industry High
Lopez,Mason,18,172,PG,Nagane Industry High,Nagane Industry High
Kurosawa,Noah,16,202,PF,Nagane Industry High,Nagane Industry High
Kishida,Aoi,17,172,PG,Nagane Industry High,Nagane Industry High
Tanaka,Hayato,18,176,PF,Nagane Industry High,Nagane Industry High
Kato,Noah,18,181,C,Nagane Industry High,Nagane Industry High
Sato,Ren,18,199,SF,Obayashi Academy,Obayashi Academy
Brown,Kaito,18,183,SG,Obayashi Academy,Obayashi Academy
Kurosawa,Kaito,17,180,SG,Obayashi Academy,Obayashi Academy
Yamada,Hayato,18,179,PG,Obayashi Academy,Obayashi Academy
Gonzalez,Evan,18,177,SF,Obayashi Academy,Obayashi Academy
Nakamura,Mason,17,174,SG,Obayashi Academy,Obayashi Academy
Kurosawa,Mason,18,205,SF,Obayashi Academy,Obayashi Academy
Ito,Daiki,16,193,SF,Obayashi Academy,Obayashi Academy
Kobayashi,Toma,17,197,PG,Obayashi Academy,Obayashi Academy
Takahashi,Riku,16,173,SG,Obayashi Academy,Obayashi Academy
Tanaka,Evan,18,203,PF,Obayashi Academy,Obayashi Academy
Nakamura,Aoi,18,180,PG,Obayashi Academy,Obayashi Academy
Ito,Ren,18,184,PF,Kamino High,Kamino High
Yamada,Mason,16,203,PF,Kamino High,Kamino High
Ito,Evan,17,192,SF,Kamino High,Kamino High
Park,Leo,18,186,C,Kamino High,Kamino High
Johnson,Aoi,17,191,C,Kamino High,Kamino High
Yamada,Toma,16,193,SF,Kamino High,Kamino High
Nakamura,Riku,16,192,C,Kamino High,Kamino High
Abe,Noah,17,180,SF,Kamino High,Kamino High
Watanabe,Daiki,17,192,C,Kamino High,Kamino High
Smith,Daiki,16,183,SG,Kamino High,Kamino High
Suzuki,Aoi,17,171,C,Kamino High,Kamino High
Fujita,Shin,16,202,SG,Kamino High,Kamino High
